serial_number,movie_name,star,describe,introduce,movie_url,evaluate
1,肖申克的救赎,9.6,希望让人自由。,1994/美国/犯罪剧情,https://movie.douban.com/subject/1292052/,1312659人评价
2,霸王别姬,9.6,风华绝代。,1993/中国大陆香港/剧情爱情同性,https://movie.douban.com/subject/1291546/,969242人评价
3,这个杀手不太冷,9.4,怪蜀黍和小萝莉不得不说的故事。,1994/法国/剧情动作犯罪,https://movie.douban.com/subject/1295644/,1203059人评价
4,阿甘正传,9.4,一部美国近现代史。,1994/美国/剧情爱情,https://movie.douban.com/subject/1292720/,1034368人评价
5,美丽人生,9.5,最美的谎言。,1997/意大利/剧情喜剧爱情战争,https://movie.douban.com/subject/1292063/,605634人评价
6,泰坦尼克号,9.3,失去的才是永恒的。 ,1997/美国/剧情爱情灾难,https://movie.douban.com/subject/1292722/,971445人评价
7,千与千寻,9.3,最好的宫崎骏，最好的久石让。 ,2001/日本/剧情动画奇幻,https://movie.douban.com/subject/1291561/,962626人评价
8,辛德勒的名单,9.5,拯救一个人，就是拯救整个世界。,1993/美国/剧情历史战争,https://movie.douban.com/subject/1295124/,540920人评价
9,盗梦空间,9.3,诺兰给了我们一场无法盗取的梦。,2010/美国英国/剧情科幻悬疑冒险,https://movie.douban.com/subject/3541415/,1047836人评价
10,忠犬八公的故事,9.3,永远都不能忘记你所爱的人。,2009/美国英国/剧情,https://movie.douban.com/subject/3011091/,684422人评价
11,机器人总动员,9.3,小瓦力，大人生。,2008/美国/爱情科幻动画冒险,https://movie.douban.com/subject/2131459/,696532人评价
12,三傻大闹宝莱坞,9.2,英俊版憨豆，高情商版谢耳朵。,2009/印度/剧情喜剧爱情歌舞,https://movie.douban.com/subject/3793023/,938043人评价
13,海上钢琴师,9.2,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,1998/意大利/剧情音乐,https://movie.douban.com/subject/1292001/,776178人评价
14,放牛班的春天,9.3,天籁一般的童声，是最接近上帝的存在。 ,2004/法国瑞士德国/剧情音乐,https://movie.douban.com/subject/1291549/,648153人评价
15,大话西游之大圣娶亲,9.2,一生所爱。,1995/香港中国大陆/喜剧爱情奇幻冒险,https://movie.douban.com/subject/1292213/,721757人评价
16,楚门的世界,9.2,如果再也不能见到你，祝你早安，午安，晚安。,1998/美国/剧情科幻,https://movie.douban.com/subject/1292064/,707668人评价
17,星际穿越,9.2,爱是一种力量，让我们超越时空感知它的存在。,2014/美国英国加拿大冰岛/剧情科幻冒险,https://movie.douban.com/subject/1889243/,728528人评价
18,龙猫,9.2,人人心中都有个龙猫，童年就永远不会消失。,1988/日本/动画奇幻冒险,https://movie.douban.com/subject/1291560/,636425人评价
19,教父,9.2,千万不要记恨你的对手，这样会让你失去理智。,1972/美国/剧情犯罪,https://movie.douban.com/subject/1291841/,472173人评价
20,熔炉,9.3,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,2011/韩国/剧情,https://movie.douban.com/subject/5912992/,411355人评价
21,无间道,9.1,香港电影史上永不过时的杰作。,2002/香港/剧情犯罪悬疑,https://movie.douban.com/subject/1307914/,592299人评价
22,当幸福来敲门,9.0,平民励志片。 ,2006/美国/剧情传记家庭,https://movie.douban.com/subject/1849031/,757889人评价
23,疯狂动物城,9.2,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,2016/美国/喜剧动画冒险,https://movie.douban.com/subject/25662329/,802060人评价
24,怦然心动,9.0,真正的幸福是来自内心深处。,2010/美国/剧情喜剧爱情,https://movie.douban.com/subject/3319755/,827425人评价
25,触不可及,9.2,满满温情的高雅喜剧。,2011/法国/剧情喜剧,https://movie.douban.com/subject/6786002/,498054人评价
26,乱世佳人,9.2,Tomorrow is another day.,1939/美国/剧情历史爱情战争,https://movie.douban.com/subject/1300267/,353753人评价
27,蝙蝠侠：黑暗骑士,9.1,无尽的黑暗。,2008/美国英国/剧情动作科幻犯罪惊悚,https://movie.douban.com/subject/1851857/,480529人评价
28,活着,9.2,张艺谋最好的电影。,1994/中国大陆香港/剧情历史家庭,https://movie.douban.com/subject/1292365/,388677人评价
29,少年派的奇幻漂流,9.0,瑰丽壮观、无人能及的冒险之旅。,2012/美国台湾英国加拿大/剧情奇幻冒险,https://movie.douban.com/subject/1929463/,766526人评价
30,天堂电影院,9.1,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,1988/意大利法国/剧情爱情,https://movie.douban.com/subject/1291828/,384160人评价
31,鬼子来了,9.2,对敌人的仁慈，就是对自己残忍。,2000/中国大陆/剧情历史战争,https://movie.douban.com/subject/1291858/,319132人评价
32,十二怒汉,9.4,1957年的理想主义。 ,1957/美国/剧情,https://movie.douban.com/subject/1293182/,228379人评价
